company,line,station,norm_company,norm_line,norm_station
札幌市営地下鉄,地下鉄東豊線,元町,札幌市営地下鉄,地下鉄東豊線,元町
札幌市営地下鉄,地下鉄東豊線,環状通東,札幌市営地下鉄,地下鉄東豊線,環状通東
札幌市営地下鉄,地下鉄東豊線,東区役所前,札幌市営地下鉄,地下鉄東豊線,東区役所前
札幌市営地下鉄,地下鉄東豊線,北１３条東,札幌市営地下鉄,地下鉄東豊線,北13条東
札幌市営地下鉄,地下鉄東豊線,さっぽろ,札幌市営地下鉄,地下鉄東豊線,さっぽろ
札幌市営地下鉄,地下鉄東豊線,大通,札幌市営地下鉄,地下鉄東豊線,大通
札幌市営地下鉄,地下鉄東豊線,豊水すすきの,札幌市営地下鉄,地下鉄東豊線,豊水すすきの
札幌市営地下鉄,地下鉄東豊線,学園前,札幌市営地下鉄,地下鉄東豊線,学園前
札幌市営地下鉄,地下鉄東豊線,豊平公園,札幌市営地下鉄,地下鉄東豊線,豊平公園
札幌市営地下鉄,地下鉄東豊線,美園,札幌市営地下鉄,地下鉄東豊線,美園
札幌市営地下鉄,地下鉄東豊線,月寒中央,札幌市営地下鉄,地下鉄東豊線,月寒中央
札幌市営地下鉄,地下鉄東豊線,福住,札幌市営地下鉄,地下鉄東豊線,福住
道南いさりび鉄道,道南いさりび鉄道,函館,道南いさりび鉄道,道南いさりび鉄道,函館
道南いさりび鉄道,道南いさりび鉄道,五稜郭,道南いさりび鉄道,道南いさりび鉄道,五稜郭
道南いさりび鉄道,道南いさりび鉄道,七重浜,道南いさりび鉄道,道南いさりび鉄道,七重浜
道南いさりび鉄道,道南いさりび鉄道,東久根別,道南いさりび鉄道,道南いさりび鉄道,東久根別
道南いさりび鉄道,道南いさりび鉄道,久根別,道南いさりび鉄道,道南いさりび鉄道,久根別
道南いさりび鉄道,道南いさりび鉄道,清川口,道南いさりび鉄道,道南いさりび鉄道,清川口
道南いさりび鉄道,道南いさりび鉄道,上磯,道南いさりび鉄道,道南いさりび鉄道,上磯
道南いさりび鉄道,道南いさりび鉄道,茂辺地,道南いさりび鉄道,道南いさりび鉄道,茂辺地
道南いさりび鉄道,道南いさりび鉄道,渡島当別,道南いさりび鉄道,道南いさりび鉄道,渡島当別
道南いさりび鉄道,道南いさりび鉄道,泉沢,道南いさりび鉄道,道南いさりび鉄道,泉沢
道南いさりび鉄道,道南いさりび鉄道,札苅,道南いさりび鉄道,道南いさりび鉄道,札苅
道南いさりび鉄道,道南いさりび鉄道,木古内,道南いさりび鉄道,道南いさりび鉄道,木古内
函館市電,函館市電湯川線,函館どっく前,函館市電,函館市電湯川線,函館どっく前
函館市電,函館市電湯川線,大町,函館市電,函館市電湯川線,大町
函館市電,函館市電湯川線,末広町,函館市電,函館市電湯川線,末広町
函館市電,函館市電湯川線,十字街,函館市電,函館市電湯川線,十字街
函館市電,函館市電湯川線,魚市場通,函館市電,函館市電湯川線,魚市場通
函館市電,函館市電湯川線,市役所前,函館市電,函館市電湯川線,市役所前
函館市電,函館市電湯川線,函館駅前,函館市電,函館市電湯川線,函館駅前
函館市電,函館市電湯川線,松風町,函館市電,函館市電湯川線,松風町
函館市電,函館市電湯川線,新川町,函館市電,函館市電湯川線,新川町
函館市電,函館市電湯川線,千歳町,函館市電,函館市電湯川線,千歳町
函館市電,函館市電湯川線,昭和橋,函館市電,函館市電湯川線,昭和橋
函館市電,函館市電湯川線,堀川町,函館市電,函館市電湯川線,堀川町
函館市電,函館市電湯川線,千代台,函館市電,函館市電湯川線,千代台
函館市電,函館市電湯川線,中央病院前,函館市電,函館市電湯川線,中央病院前
函館市電,函館市電湯川線,五稜郭公園前,函館市電,函館市電湯川線,五稜郭公園前
函館市電,函館市電湯川線,杉並町,函館市電,函館市電湯川線,杉並町
函館市電,函館市電湯川線,柏木町,函館市電,函館市電湯川線,柏木町
函館市電,函館市電湯川線,深堀町,函館市電,函館市電湯川線,深堀町
函館市電,函館市電湯川線,競馬場前,函館市電,函館市電湯川線,競馬場前
函館市電,函館市電湯川線,駒場車庫前,函館市電,函館市電湯川線,駒場車庫前
